layer,beta,experiment,success_count,total_prompts,final_accuracy
27,1.5,Average,,,0.0968
27,2.0,1,175.0,1000.0,0.175
27,2.0,2,160.0,1000.0,0.16
27,2.0,3,146.0,1000.0,0.146
27,2.0,4,155.0,1000.0,0.155
27,2.0,5,183.0,1000.0,0.183
27,2.0,Average,,,0.1638
27,2.5,1,113.0,1000.0,0.113
27,2.5,2,125.0,1000.0,0.125
27,2.5,3,129.0,1000.0,0.129
27,2.5,4,133.0,1000.0,0.133
27,2.5,5,141.0,1000.0,0.141
27,2.5,Average,,,0.1282
27,3.0,1,0.0,1000.0,0.0
27,3.0,2,0.0,1000.0,0.0
27,3.0,3,0.0,1000.0,0.0
27,3.0,4,0.0,1000.0,0.0
27,3.0,5,0.0,1000.0,0.0
27,3.0,Average,,,0.0
27,4.0,1,0.0,1000.0,0.0
27,4.0,2,0.0,1000.0,0.0
27,4.0,3,0.0,1000.0,0.0
27,4.0,4,0.0,1000.0,0.0
27,4.0,5,0.0,1000.0,0.0
27,4.0,Average,,,0.0
27,5.0,1,0.0,1000.0,0.0
27,5.0,2,0.0,1000.0,0.0
27,5.0,3,0.0,1000.0,0.0
27,5.0,4,0.0,1000.0,0.0
27,5.0,5,0.0,1000.0,0.0
27,5.0,Average,,,0.0
29,0.5,1,36.0,1000.0,0.036
29,0.5,2,46.0,1000.0,0.046
29,0.5,3,38.0,1000.0,0.038
29,0.5,4,39.0,1000.0,0.039
29,0.5,5,36.0,1000.0,0.036
29,0.5,Average,,,0.039
29,1.0,1,85.0,1000.0,0.085
29,1.0,2,81.0,1000.0,0.081
29,1.0,3,81.0,1000.0,0.081
29,1.0,4,84.0,1000.0,0.084
29,1.0,5,124.0,1000.0,0.124
29,1.0,Average,,,0.091
29,1.5,1,159.0,1000.0,0.159
29,1.5,2,169.0,1000.0,0.169
29,1.5,3,166.0,1000.0,0.166
29,1.5,4,157.0,1000.0,0.157
29,1.5,5,166.0,1000.0,0.166
29,1.5,Average,,,0.1634
29,2.0,1,228.0,1000.0,0.228
29,2.0,2,180.0,1000.0,0.18
29,2.0,3,158.0,1000.0,0.158
29,2.0,4,175.0,1000.0,0.175
29,2.0,5,209.0,1000.0,0.209
29,2.0,Average,,,0.19
29,2.5,1,212.0,1000.0,0.212
29,2.5,2,185.0,1000.0,0.185
29,2.5,3,157.0,1000.0,0.157
29,2.5,4,149.0,1000.0,0.149
29,2.5,5,200.0,1000.0,0.2
29,2.5,Average,,,0.1806
29,3.0,1,161.0,1000.0,0.161
29,3.0,2,122.0,1000.0,0.122
29,3.0,3,117.0,1000.0,0.117
29,3.0,4,119.0,1000.0,0.119
29,3.0,5,171.0,1000.0,0.171
29,3.0,Average,,,0.138
29,4.0,1,0.0,1000.0,0.0
29,4.0,2,0.0,1000.0,0.0
29,4.0,3,0.0,1000.0,0.0
29,4.0,4,0.0,1000.0,0.0
29,4.0,5,0.0,1000.0,0.0
29,4.0,Average,,,0.0
29,5.0,1,0.0,1000.0,0.0
29,5.0,2,0.0,1000.0,0.0
29,5.0,3,0.0,1000.0,0.0
29,5.0,4,0.0,1000.0,0.0
29,5.0,5,0.0,1000.0,0.0
29,5.0,Average,,,0.0
30,0.5,1,25.0,1000.0,0.025
30,0.5,2,38.0,1000.0,0.038
30,0.5,3,32.0,1000.0,0.032
30,0.5,4,39.0,1000.0,0.039
30,0.5,5,26.0,1000.0,0.026
30,0.5,Average,,,0.032
30,1.0,1,107.0,1000.0,0.107
30,1.0,2,89.0,1000.0,0.089
30,1.0,3,98.0,1000.0,0.098
30,1.0,4,100.0,1000.0,0.1
30,1.0,5,119.0,1000.0,0.119
30,1.0,Average,,,0.1026
30,1.5,1,170.0,1000.0,0.17
30,1.5,2,162.0,1000.0,0.162
30,1.5,3,151.0,1000.0,0.151
30,1.5,4,173.0,1000.0,0.173
30,1.5,5,175.0,1000.0,0.175
30,1.5,Average,,,0.1662
30,2.0,1,230.0,1000.0,0.23
30,2.0,2,207.0,1000.0,0.207
30,2.0,3,152.0,1000.0,0.152
30,2.0,4,177.0,1000.0,0.177
30,2.0,5,216.0,1000.0,0.216
30,2.0,Average,,,0.1964
30,2.5,1,212.0,1000.0,0.212
30,2.5,2,195.0,1000.0,0.195
